timestamp_s,cpu_percent,mem_percent,net_in_kbps,net_out_kbps
0,36.26,38.07,48.66,41.35
300,35.05,29.09,27.02,43.71
600,33.3,22.59,45.74,37.96
900,14.34,5.0,27.02,23.93
1200,18.86,17.76,31.83,23.98
1500,29.73,29.73,37.36,20.48
1800,12.06,5.0,13.7,11.21
2100,31.63,27.71,37.05,9.52
2400,23.65,25.62,35.97,28.69
2700,16.11,17.87,19.6,10.81
3000,22.54,24.63,21.13,25.85
3300,29.34,26.56,52.1,32.72
3600,19.55,18.73,19.49,9.81
3900,19.86,13.19,32.23,13.0
4200,27.44,21.75,49.86,45.63
4500,16.77,9.03,18.94,0.9
4800,6.03,5.0,9.86,6.39
5100,18.27,10.95,19.71,18.24
5400,7.06,8.17,7.42,9.93
5700,26.91,37.98,24.97,12.46
6000,13.65,13.59,36.78,12.61
6300,22.82,17.19,42.0,36.3
6600,20.51,12.3,23.4,15.96
6900,10.21,6.3,4.67,17.98
7200,4.47,7.7,0.1,4.86
7500,16.66,15.57,19.45,22.79
7800,6.96,5.0,13.67,0.1
8100,24.43,25.67,27.34,25.75
8400,5.04,6.71,4.49,2.59
8700,1.0,5.0,1.43,7.88
9000,18.58,14.43,9.02,30.28
9300,16.02,14.45,24.26,15.28
9600,1.0,5.0,1.31,0.46
9900,14.0,10.87,13.95,17.41
10200,6.85,7.1,8.94,3.63
10500,1.0,5.0,9.13,0.1
10800,1.0,5.0,9.59,0.1
11100,14.82,8.66,24.19,10.2
11400,11.7,10.25,21.78,10.65
11700,8.72,14.57,15.61,13.59
12000,1.0,5.0,1.26,2.23
12300,1.0,5.0,0.1,0.1
12600,8.89,5.0,13.28,11.0
12900,5.24,7.56,6.23,7.39
13200,1.0,5.0,7.66,1.76
13500,8.67,5.0,8.33,9.1
13800,1.0,5.0,0.1,1.49
14100,1.0,5.0,6.78,0.1
14400,1.0,5.0,2.66,5.43
14700,1.0,5.0,0.1,2.53
15000,6.8,5.95,7.88,4.89
15300,1.0,5.0,0.1,0.62
15600,4.42,5.0,7.14,6.9
15900,7.52,6.31,25.92,9.33
16200,1.0,8.39,0.1,0.1
16500,2.51,5.0,0.1,1.93
16800,1.0,5.0,9.28,0.8
17100,5.68,8.62,2.91,2.26
17400,1.0,5.0,11.73,0.59
17700,7.2,6.49,16.05,1.74
18000,1.0,5.0,4.98,2.83
18300,1.0,5.0,0.1,0.1
18600,1.0,5.0,0.1,1.23
18900,1.0,5.0,0.35,2.43
19200,1.0,5.0,3.56,4.88
19500,1.0,5.0,3.48,2.74
19800,1.0,5.0,0.1,1.83
20100,1.0,5.0,0.1,2.38
20400,1.0,5.0,0.1,1.6
20700,1.0,5.0,0.1,0.1
21000,1.0,5.0,7.0,4.63
21300,1.0,5.0,0.1,0.58
21600,1.0,5.0,5.52,0.1
21900,1.0,8.48,0.1,0.1
22200,1.0,5.0,0.76,0.1
22500,1.0,5.0,0.1,0.1
22800,1.0,5.9,6.36,4.02
23100,1.0,5.0,0.41,6.92
23400,1.0,5.0,4.17,0.7
23700,1.0,5.0,0.1,0.69
24000,1.0,5.0,12.15,5.03
24300,1.0,5.0,2.44,0.1
24600,1.0,5.0,7.05,3.46
24900,1.0,5.0,13.96,0.1
25200,1.0,5.0,3.25,0.1
25500,1.0,5.0,0.1,0.86
25800,1.0,5.0,0.1,0.1
26100,1.0,5.0,11.28,4.78
26400,3.07,5.76,3.45,0.5
26700,1.0,5.0,0.1,0.1
27000,1.0,5.0,0.1,2.55
27300,1.0,5.0,9.36,0.1
27600,7.91,5.0,10.97,7.06
27900,1.0,5.0,0.1,1.0
28200,1.0,5.0,0.1,0.1
28500,13.58,5.96,19.8,16.43
28800,9.17,6.44,8.65,9.91
29100,2.43,5.0,5.77,3.04
29400,4.2,8.2,0.1,6.82
29700,22.08,23.2,30.05,10.1
30000,17.4,17.89,25.13,17.15
30300,22.06,20.92,13.73,28.28
