timestamp_s,cpu_percent,mem_percent,net_in_kbps,net_out_kbps
0,31.36,19.89,22.57,31.88
300,26.8,18.43,36.58,9.76
600,34.09,23.85,60.46,37.52
900,37.46,29.96,58.62,18.58
1200,21.35,24.89,32.16,12.76
1500,28.6,21.54,52.85,29.56
1800,29.61,31.85,50.09,21.59
2100,26.91,26.26,18.73,28.58
2400,35.48,35.63,49.64,33.49
2700,13.3,10.52,13.25,10.96
3000,33.53,21.77,55.39,24.86
3300,19.5,16.53,10.73,25.02
3600,15.53,7.93,21.85,19.04
3900,30.13,23.03,32.59,9.56
4200,19.74,14.6,23.41,17.25
4500,32.89,23.42,31.12,25.68
4800,28.37,26.57,23.63,16.67
5100,28.04,29.07,49.25,24.46
5400,21.1,15.17,18.59,6.49
5700,30.59,26.23,34.43,24.01
6000,19.54,18.19,10.76,9.24
6300,11.31,9.55,26.7,11.96
6600,6.97,5.0,11.13,8.05
6900,20.16,19.48,43.92,23.43
7200,7.94,5.0,11.0,7.95
7500,23.05,17.42,27.59,27.59
7800,9.93,7.55,17.12,3.33
8100,9.88,7.76,15.13,11.17
8400,27.66,16.27,14.32,8.19
8700,4.1,5.0,7.96,0.1
9000,15.28,9.59,15.71,22.22
9300,25.87,28.31,15.51,29.78
9600,11.56,5.0,14.97,1.34
9900,1.0,6.55,1.06,6.15
10200,12.04,12.05,0.1,9.13
10500,1.36,5.4,5.81,0.1
10800,18.4,9.38,14.95,10.78
11100,15.46,10.54,27.93,8.79
11400,1.0,5.0,2.11,0.3
11700,1.84,5.0,5.47,0.1
12000,15.42,18.55,3.57,8.17
12300,1.0,5.0,3.51,0.1
12600,15.96,14.8,22.16,15.58
12900,13.9,13.59,27.61,8.29
13200,1.0,5.0,0.1,0.1
13500,6.05,5.0,13.05,12.59
13800,1.0,5.0,3.42,0.1
14100,8.4,6.84,17.28,3.3
14400,1.0,5.0,0.45,2.14
14700,5.68,6.15,4.16,9.51
15000,11.59,6.58,3.85,9.45
15300,8.39,9.1,14.22,2.05
15600,1.0,5.0,4.32,3.47
15900,1.0,5.0,0.1,5.02
16200,10.19,5.0,8.59,8.59
16500,11.13,7.16,13.57,6.36
16800,1.0,5.0,0.1,1.11
17100,5.45,8.71,11.57,8.05
17400,10.29,11.44,13.7,2.2
17700,9.2,8.03,14.43,11.94
18000,7.13,13.9,0.1,2.08
18300,1.0,5.0,0.1,0.78
