timestamp_s,cpu_percent,mem_percent,net_in_kbps,net_out_kbps
0,40.15,32.67,60.07,13.51
300,29.38,16.44,29.19,19.03
600,26.58,30.31,38.35,30.29
900,35.61,34.8,48.13,38.56
1200,36.73,38.05,55.96,45.19
1500,42.72,25.05,80.23,50.84
1800,42.84,27.48,29.09,43.72
2100,30.61,26.58,60.09,29.44
2400,21.64,18.68,36.41,29.05
2700,26.6,28.61,19.78,17.56
3000,21.5,19.78,30.52,18.25
3300,36.8,30.94,77.15,54.71
3600,38.01,28.91,50.26,15.89
3900,36.82,22.73,45.04,52.46
4200,18.39,20.37,19.33,8.28
4500,17.34,19.77,14.04,23.83
4800,37.33,33.85,23.12,34.46
5100,20.06,18.52,32.71,27.87
5400,34.63,19.17,23.31,41.63
5700,34.6,19.01,25.53,45.02
6000,28.32,14.64,15.3,35.4
6300,15.1,7.23,20.07,17.04
6600,16.25,16.41,27.55,20.88
6900,16.19,14.88,30.0,7.94
7200,19.97,17.25,30.56,11.02
7500,26.92,19.04,40.04,12.48
7800,26.17,24.03,41.79,35.77
8100,22.56,28.39,35.8,32.51
8400,24.03,18.33,19.1,23.3
8700,12.83,14.19,14.08,9.32
9000,29.08,11.69,58.73,11.93
9300,12.91,8.47,27.91,10.09
9600,26.88,21.64,17.82,27.0
9900,12.64,17.76,12.43,18.24
10200,18.9,19.41,32.15,15.23
10500,11.38,13.34,12.85,13.55
10800,18.32,6.7,33.58,19.01
11100,24.2,12.19,34.99,33.45
11400,23.49,23.84,40.02,27.28
11700,15.92,11.12,19.15,14.53
12000,11.15,7.28,23.83,3.12
12300,2.15,5.0,0.1,5.99
12600,20.37,14.19,38.15,29.44
12900,19.09,13.14,36.33,29.03
13200,18.65,16.91,6.39,21.43
13500,24.56,15.12,24.55,7.98
13800,19.66,23.17,2.49,3.94
14100,16.24,16.87,22.79,21.2
14400,5.01,5.0,3.88,6.98
14700,8.97,13.49,0.1,14.09
15000,6.19,5.0,4.7,4.99
15300,7.01,8.82,14.87,5.11
15600,12.52,9.95,18.26,23.05
15900,1.14,5.0,2.51,1.49
16200,5.92,5.0,5.13,3.55
16500,2.72,5.0,0.1,3.57
16800,3.78,5.23,14.69,4.85
17100,15.31,14.42,27.89,18.05
17400,14.79,12.61,7.36,22.33
17700,5.3,5.0,0.1,0.26
18000,5.23,7.83,0.1,7.13
18300,10.72,9.22,14.93,5.34
18600,14.28,7.95,9.81,10.63
18900,13.26,13.06,3.97,19.23
19200,1.0,5.0,3.43,2.13
19500,1.0,5.0,4.82,0.1
19800,1.0,5.0,2.27,6.72
20100,1.0,5.0,0.1,6.99
20400,15.79,9.57,18.64,19.87
20700,1.64,5.0,0.1,0.1
21000,9.63,14.38,10.67,9.79
21300,1.0,5.0,0.1,0.1
21600,17.0,15.2,31.6,12.79
21900,1.0,5.0,2.9,0.94
22200,7.87,8.71,2.71,8.63
22500,10.31,13.23,10.67,8.94
22800,1.0,5.0,0.1,0.16
23100,11.12,5.0,15.73,15.76
23400,1.0,5.0,1.97,4.56
23700,12.86,17.44,6.55,14.53
24000,1.0,6.21,10.06,6.01
24300,17.17,14.78,28.52,16.49
24600,18.54,18.18,21.15,9.49
24900,12.45,11.58,3.56,15.25
25200,2.49,5.0,0.28,2.36
25500,7.82,8.63,0.1,4.05
25800,15.2,16.46,24.5,18.67
26100,1.0,5.0,0.1,0.1
26400,1.04,5.0,0.1,2.67
26700,6.75,5.72,19.14,15.83
27000,20.54,13.56,32.59,18.02
27300,5.05,8.29,4.33,8.82
27600,5.93,5.0,8.02,11.11
27900,14.07,11.52,9.85,23.79
28200,25.77,19.34,20.48,11.26
28500,26.06,21.3,32.66,25.46
28800,29.12,18.45,37.3,37.43
29100,6.96,5.0,9.97,13.57
29400,30.11,24.33,8.33,16.95
29700,19.75,12.28,29.72,24.77
30000,27.69,21.76,40.98,35.29
30300,15.17,15.37,1.48,19.89
30600,28.38,25.76,36.36,23.31
30900,30.98,26.86,34.68,20.78
31200,25.04,17.62,35.71,28.56
31500,23.22,14.72,36.35,25.73
31800,22.93,17.2,36.25,14.3
32100,34.56,30.67,30.48,27.22
32400,28.01,27.86,30.8,27.24
32700,42.42,40.7,59.36,42.62
33000,26.17,29.28,48.38,30.64
33300,40.23,29.67,35.36,26.39
33600,36.97,34.13,69.41,18.35
33900,31.96,36.26,21.63,13.34
34200,49.85,35.39,70.58,75.07
34500,28.04,20.05,25.95,26.54
34800,48.61,32.62,64.61,55.15
35100,54.19,59.39,37.3,83.49
35400,42.58,36.38,58.74,48.94
35700,53.3,45.6,85.16,46.69
36000,38.12,43.03,29.6,15.88
36300,36.3,28.99,18.7,46.45
36600,41.75,40.34,51.2,16.68
36900,58.35,42.63,73.33,43.09
37200,47.24,33.31,34.41,27.22
37500,64.21,54.21,42.51,54.17
37800,67.37,65.93,47.18,72.49
38100,65.7,55.44,123.51,20.71
38400,64.16,53.74,71.94,80.6
38700,60.47,45.72,63.05,69.14
39000,52.48,36.11,80.18,76.41
39300,65.88,72.59,64.0,32.44
39600,60.73,35.48,70.97,26.08
39900,64.67,47.83,68.49,65.31
40200,80.03,77.26,43.85,79.92
40500,80.18,82.22,107.27,29.88
40800,67.92,74.64,113.34,96.58
41100,73.02,79.52,76.09,34.84
41400,66.31,47.04,100.19,55.55
41700,78.06,77.59,77.08,70.22
42000,74.51,67.07,76.97,61.42
42300,67.83,65.52,53.51,81.51
42600,85.07,92.45,135.58,120.92
42900,88.22,78.54,57.31,85.38
43200,84.42,80.58,101.49,101.04
43500,88.48,72.07,77.93,102.44
43800,80.55,82.48,137.87,81.77
44100,77.05,51.97,92.95,110.93
44400,78.8,60.81,57.41,104.06
44700,76.19,78.42,90.15,83.68
45000,85.69,62.87,52.84,74.64
45300,72.84,44.93,51.38,58.49
45600,94.08,62.22,168.94,77.94
45900,71.0,58.48,139.23,84.18
46200,93.1,59.65,165.26,122.58
46500,84.37,88.02,90.56,26.5
46800,79.29,56.21,160.98,109.18
47100,92.86,98.0,177.71,118.2
47400,86.34,95.03,120.11,72.69
47700,82.48,69.38,52.5,66.88
48000,89.47,56.64,81.67,49.77
48300,98.3,98.0,55.37,35.22
48600,89.85,96.85,131.86,119.96
48900,97.94,98.0,73.43,83.76
49200,86.46,84.56,73.94,90.97
49500,88.46,65.15,65.28,43.88
49800,90.55,77.6,89.81,83.37
50100,89.09,52.26,74.29,39.14
50400,90.64,93.24,56.07,96.51
50700,89.94,89.55,139.03,101.38
51000,99.0,79.14,170.3,113.12
51300,85.21,83.21,67.92,101.4
51600,86.92,52.59,72.12,58.15
51900,99.0,98.0,79.9,87.52
52200,87.4,65.84,110.47,30.24
52500,99.0,98.0,113.23,62.28
52800,85.18,72.51,73.16,58.03
53100,84.01,71.52,80.12,99.99
53400,93.03,79.92,172.14,126.67
53700,99.0,85.81,41.17,90.09
54000,94.07,78.91,57.57,112.67
54300,99.0,98.0,97.37,65.64
54600,99.0,74.05,95.48,50.72
54900,99.0,75.21,147.03,52.97
55200,83.43,88.58,120.79,46.68
55500,99.0,74.69,113.85,122.89
55800,84.12,81.81,47.75,126.62
56100,78.7,69.29,49.26,87.13
56400,77.03,52.38,86.86,80.29
56700,95.69,78.08,188.26,112.34
57000,72.36,56.1,63.09,47.43
57300,91.43,92.41,83.09,40.21
57600,77.6,49.95,81.47,38.5
57900,85.93,61.2,140.93,50.38
58200,86.85,62.9,142.35,110.69
58500,82.22,67.5,98.81,98.38
58800,65.85,47.52,88.69,48.9
